district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
48001,Banff--Airdrie,1,Lake Louise,Boissonneault,Joanne,NDP,74
48001,Banff--Airdrie,1,Lake Louise,MacDonald,Mike,Green Party,33
48001,Banff--Airdrie,1,Lake Louise,Raynolds,Marlo,Liberal,181
48001,Banff--Airdrie,1,Lake Louise,Richards,Blake,Conservative,61
48001,Banff--Airdrie, 2A,Banff,Boissonneault,Joanne,NDP,14
48001,Banff--Airdrie, 2A,Banff,MacDonald,Mike,Green Party,11
48001,Banff--Airdrie, 2A,Banff,Raynolds,Marlo,Liberal,73
48001,Banff--Airdrie, 2A,Banff,Richards,Blake,Conservative,27
48001,Banff--Airdrie, 2B,Banff,Boissonneault,Joanne,NDP,24
48001,Banff--Airdrie, 2B,Banff,MacDonald,Mike,Green Party,10
48001,Banff--Airdrie, 2B,Banff,Raynolds,Marlo,Liberal,63
48001,Banff--Airdrie, 2B,Banff,Richards,Blake,Conservative,33
48001,Banff--Airdrie,3,Banff,Boissonneault,Joanne,NDP,46
48001,Banff--Airdrie,3,Banff,MacDonald,Mike,Green Party,12
48001,Banff--Airdrie,3,Banff,Raynolds,Marlo,Liberal,124
48001,Banff--Airdrie,3,Banff,Richards,Blake,Conservative,46
48001,Banff--Airdrie,4,Banff,Boissonneault,Joanne,NDP,41
48001,Banff--Airdrie,4,Banff,MacDonald,Mike,Green Party,25
48001,Banff--Airdrie,4,Banff,Raynolds,Marlo,Liberal,130
48001,Banff--Airdrie,4,Banff,Richards,Blake,Conservative,60
48001,Banff--Airdrie,5,Banff,Boissonneault,Joanne,NDP,30
48001,Banff--Airdrie,5,Banff,MacDonald,Mike,Green Party,19
48001,Banff--Airdrie,5,Banff,Raynolds,Marlo,Liberal,69
48001,Banff--Airdrie,5,Banff,Richards,Blake,Conservative,41
48001,Banff--Airdrie,6,Banff,Boissonneault,Joanne,NDP,19
48001,Banff--Airdrie,6,Banff,MacDonald,Mike,Green Party,9
48001,Banff--Airdrie,6,Banff,Raynolds,Marlo,Liberal,83
48001,Banff--Airdrie,6,Banff,Richards,Blake,Conservative,41
48001,Banff--Airdrie,7,Banff,Boissonneault,Joanne,NDP,0
48001,Banff--Airdrie,7,Banff,MacDonald,Mike,Green Party,0
48001,Banff--Airdrie,7,Banff,Raynolds,Marlo,Liberal,0
48001,Banff--Airdrie,7,Banff,Richards,Blake,Conservative,0
48001,Banff--Airdrie,8,Banff,Boissonneault,Joanne,NDP,26
48001,Banff--Airdrie,8,Banff,MacDonald,Mike,Green Party,20
48001,Banff--Airdrie,8,Banff,Raynolds,Marlo,Liberal,163
48001,Banff--Airdrie,8,Banff,Richards,Blake,Conservative,65
48001,Banff--Airdrie,9,Banff,Boissonneault,Joanne,NDP,23
48001,Banff--Airdrie,9,Banff,MacDonald,Mike,Green Party,20
48001,Banff--Airdrie,9,Banff,Raynolds,Marlo,Liberal,134
48001,Banff--Airdrie,9,Banff,Richards,Blake,Conservative,57
48001,Banff--Airdrie,10,Banff,Boissonneault,Joanne,NDP,40
48001,Banff--Airdrie,10,Banff,MacDonald,Mike,Green Party,20
48001,Banff--Airdrie,10,Banff,Raynolds,Marlo,Liberal,144
48001,Banff--Airdrie,10,Banff,Richards,Blake,Conservative,42
48001,Banff--Airdrie,11,Banff,Boissonneault,Joanne,NDP,18
48001,Banff--Airdrie,11,Banff,MacDonald,Mike,Green Party,8
48001,Banff--Airdrie,11,Banff,Raynolds,Marlo,Liberal,101
48001,Banff--Airdrie,11,Banff,Richards,Blake,Conservative,37
48001,Banff--Airdrie,12,Banff,Boissonneault,Joanne,NDP,19
48001,Banff--Airdrie,12,Banff,MacDonald,Mike,Green Party,14
48001,Banff--Airdrie,12,Banff,Raynolds,Marlo,Liberal,104
48001,Banff--Airdrie,12,Banff,Richards,Blake,Conservative,40
48001,Banff--Airdrie,13,Clearwater No. 99,Boissonneault,Joanne,NDP,25
48001,Banff--Airdrie,13,Clearwater No. 99,MacDonald,Mike,Green Party,26
48001,Banff--Airdrie,13,Clearwater No. 99,Raynolds,Marlo,Liberal,59
48001,Banff--Airdrie,13,Clearwater No. 99,Richards,Blake,Conservative,151
48001,Banff--Airdrie,14,Cochrane,Boissonneault,Joanne,NDP,21
48001,Banff--Airdrie,14,Cochrane,MacDonald,Mike,Green Party,12
48001,Banff--Airdrie,14,Cochrane,Raynolds,Marlo,Liberal,49
48001,Banff--Airdrie,14,Cochrane,Richards,Blake,Conservative,243
