district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
59001,Abbotsford,1,Abbotsford,Fast,Ed,Conservative,36
59001,Abbotsford,1,Abbotsford,Fowler,Stephen,Green Party,9
59001,Abbotsford,1,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,1,Abbotsford,Martel,Jen,NDP-New Democratic Party,18
59001,Abbotsford,1,Abbotsford,Njenga,Peter,Liberal,139
59001,Abbotsford,2,Abbotsford,Fast,Ed,Conservative,30
59001,Abbotsford,2,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,2,Abbotsford,MacKay,David,Marxist-Leninist,4
59001,Abbotsford,2,Abbotsford,Martel,Jen,NDP-New Democratic Party,20
59001,Abbotsford,2,Abbotsford,Njenga,Peter,Liberal,117
59001,Abbotsford,3,Abbotsford,Fast,Ed,Conservative,51
59001,Abbotsford,3,Abbotsford,Fowler,Stephen,Green Party,4
59001,Abbotsford,3,Abbotsford,MacKay,David,Marxist-Leninist,2
59001,Abbotsford,3,Abbotsford,Martel,Jen,NDP-New Democratic Party,27
59001,Abbotsford,3,Abbotsford,Njenga,Peter,Liberal,145
59001,Abbotsford,4,Abbotsford,Fast,Ed,Conservative,69
59001,Abbotsford,4,Abbotsford,Fowler,Stephen,Green Party,3
59001,Abbotsford,4,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,4,Abbotsford,Martel,Jen,NDP-New Democratic Party,19
59001,Abbotsford,4,Abbotsford,Njenga,Peter,Liberal,117
59001,Abbotsford,5,Abbotsford,Fast,Ed,Conservative,78
59001,Abbotsford,5,Abbotsford,Fowler,Stephen,Green Party,4
59001,Abbotsford,5,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,5,Abbotsford,Martel,Jen,NDP-New Democratic Party,13
59001,Abbotsford,5,Abbotsford,Njenga,Peter,Liberal,99
59001,Abbotsford,6,Abbotsford,Fast,Ed,Conservative,56
59001,Abbotsford,6,Abbotsford,Fowler,Stephen,Green Party,7
59001,Abbotsford,6,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,6,Abbotsford,Martel,Jen,NDP-New Democratic Party,18
59001,Abbotsford,6,Abbotsford,Njenga,Peter,Liberal,99
59001,Abbotsford,7,Abbotsford,Fast,Ed,Conservative,68
59001,Abbotsford,7,Abbotsford,Fowler,Stephen,Green Party,10
59001,Abbotsford,7,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,7,Abbotsford,Martel,Jen,NDP-New Democratic Party,34
59001,Abbotsford,7,Abbotsford,Njenga,Peter,Liberal,70
59001,Abbotsford,8,Abbotsford,Fast,Ed,Conservative,129
59001,Abbotsford,8,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,8,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,8,Abbotsford,Martel,Jen,NDP-New Democratic Party,19
59001,Abbotsford,8,Abbotsford,Njenga,Peter,Liberal,69
59001,Abbotsford,9,Abbotsford,Fast,Ed,Conservative,102
59001,Abbotsford,9,Abbotsford,Fowler,Stephen,Green Party,4
59001,Abbotsford,9,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,9,Abbotsford,Martel,Jen,NDP-New Democratic Party,25
59001,Abbotsford,9,Abbotsford,Njenga,Peter,Liberal,76
59001,Abbotsford,10,Abbotsford,Fast,Ed,Conservative,91
59001,Abbotsford,10,Abbotsford,Fowler,Stephen,Green Party,8
59001,Abbotsford,10,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,10,Abbotsford,Martel,Jen,NDP-New Democratic Party,31
59001,Abbotsford,10,Abbotsford,Njenga,Peter,Liberal,134
59001,Abbotsford,11,Abbotsford,Fast,Ed,Conservative,95
59001,Abbotsford,11,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,11,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,11,Abbotsford,Martel,Jen,NDP-New Democratic Party,27
59001,Abbotsford,11,Abbotsford,Njenga,Peter,Liberal,104
59001,Abbotsford,12,Abbotsford,Fast,Ed,Conservative,75
59001,Abbotsford,12,Abbotsford,Fowler,Stephen,Green Party,12
59001,Abbotsford,12,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,12,Abbotsford,Martel,Jen,NDP-New Democratic Party,43
59001,Abbotsford,12,Abbotsford,Njenga,Peter,Liberal,88
59001,Abbotsford,13,Abbotsford,Fast,Ed,Conservative,129
59001,Abbotsford,13,Abbotsford,Fowler,Stephen,Green Party,20
59001,Abbotsford,13,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,13,Abbotsford,Martel,Jen,NDP-New Democratic Party,46
59001,Abbotsford,13,Abbotsford,Njenga,Peter,Liberal,92
59001,Abbotsford,14,Abbotsford,Fast,Ed,Conservative,119
59001,Abbotsford,14,Abbotsford,Fowler,Stephen,Green Party,12
59001,Abbotsford,14,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,14,Abbotsford,Martel,Jen,NDP-New Democratic Party,41
59001,Abbotsford,14,Abbotsford,Njenga,Peter,Liberal,96
59001,Abbotsford,15,Abbotsford,Fast,Ed,Conservative,83
59001,Abbotsford,15,Abbotsford,Fowler,Stephen,Green Party,6
59001,Abbotsford,15,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,15,Abbotsford,Martel,Jen,NDP-New Democratic Party,38
59001,Abbotsford,15,Abbotsford,Njenga,Peter,Liberal,62
59001,Abbotsford,16,Abbotsford,Fast,Ed,Conservative,94
59001,Abbotsford,16,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,16,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,16,Abbotsford,Martel,Jen,NDP-New Democratic Party,53
59001,Abbotsford,16,Abbotsford,Njenga,Peter,Liberal,116
59001,Abbotsford,17,Abbotsford,Fast,Ed,Conservative,135
59001,Abbotsford,17,Abbotsford,Fowler,Stephen,Green Party,17
59001,Abbotsford,17,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,17,Abbotsford,Martel,Jen,NDP-New Democratic Party,34
59001,Abbotsford,17,Abbotsford,Njenga,Peter,Liberal,62
59001,Abbotsford,18,Abbotsford,Fast,Ed,Conservative,85
59001,Abbotsford,18,Abbotsford,Fowler,Stephen,Green Party,20
