district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
46001,Brandon--Souris, 1A,Kirkella,Maguire,Larry,Conservative,108
46001,Brandon--Souris, 1A,Kirkella,Neufeld,David,Green Party,10
46001,Brandon--Souris, 1A,Kirkella,Wastasecoot,Melissa Joy,NDP-New Democratic Party,6
46001,Brandon--Souris, 1A,Kirkella,Wyman,Jodi,Liberal,38
46001,Brandon--Souris, 1B,Kirkella,Maguire,Larry,Conservative,138
46001,Brandon--Souris, 1B,Kirkella,Neufeld,David,Green Party,6
46001,Brandon--Souris, 1B,Kirkella,Wastasecoot,Melissa Joy,NDP-New Democratic Party,2
46001,Brandon--Souris, 1B,Kirkella,Wyman,Jodi,Liberal,29
46001,Brandon--Souris,2,Hargrave,Maguire,Larry,Conservative,70
46001,Brandon--Souris,2,Hargrave,Neufeld,David,Green Party,6
46001,Brandon--Souris,2,Hargrave,Wastasecoot,Melissa Joy,NDP-New Democratic Party,9
46001,Brandon--Souris,2,Hargrave,Wyman,Jodi,Liberal,26
46001,Brandon--Souris,3,Virden,Maguire,Larry,Conservative,146
46001,Brandon--Souris,3,Virden,Neufeld,David,Green Party,11
46001,Brandon--Souris,3,Virden,Wastasecoot,Melissa Joy,NDP-New Democratic Party,10
46001,Brandon--Souris,3,Virden,Wyman,Jodi,Liberal,43
46001,Brandon--Souris,4,Virden,Maguire,Larry,Conservative,100
46001,Brandon--Souris,4,Virden,Neufeld,David,Green Party,5
46001,Brandon--Souris,4,Virden,Wastasecoot,Melissa Joy,NDP-New Democratic Party,8
46001,Brandon--Souris,4,Virden,Wyman,Jodi,Liberal,42
46001,Brandon--Souris,5,Virden,Maguire,Larry,Conservative,155
46001,Brandon--Souris,5,Virden,Neufeld,David,Green Party,9
46001,Brandon--Souris,5,Virden,Wastasecoot,Melissa Joy,NDP-New Democratic Party,6
46001,Brandon--Souris,5,Virden,Wyman,Jodi,Liberal,44
46001,Brandon--Souris,6,Virden,Maguire,Larry,Conservative,109
46001,Brandon--Souris,6,Virden,Neufeld,David,Green Party,8
46001,Brandon--Souris,6,Virden,Wastasecoot,Melissa Joy,NDP-New Democratic Party,6
46001,Brandon--Souris,6,Virden,Wyman,Jodi,Liberal,47
46001,Brandon--Souris,7,Virden,Maguire,Larry,Conservative,102
