district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
13001,Acadie--Bathurst,1,Miscou Plains,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,1,Miscou Plains,Cormier,Serge,Liberal,82
13001,Acadie--Bathurst,1,Miscou Plains,Girouard-Riordon,Riba,Conservative,12
13001,Acadie--Bathurst,1,Miscou Plains,Godin,Jason,NDP-New Democratic Party,97
13001,Acadie--Bathurst,2,Miscou Centre,Breau,Dominique,Green Party,2
13001,Acadie--Bathurst,2,Miscou Centre,Cormier,Serge,Liberal,62
13001,Acadie--Bathurst,2,Miscou Centre,Girouard-Riordon,Riba,Conservative,10
13001,Acadie--Bathurst,2,Miscou Centre,Godin,Jason,NDP-New Democratic Party,42
13001,Acadie--Bathurst,3,Pigeon Hill,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst,3,Pigeon Hill,Cormier,Serge,Liberal,136
13001,Acadie--Bathurst,3,Pigeon Hill,Girouard-Riordon,Riba,Conservative,17
13001,Acadie--Bathurst,3,Pigeon Hill,Godin,Jason,NDP-New Democratic Party,84
13001,Acadie--Bathurst,4,Coteau Road,Breau,Dominique,Green Party,1
13001,Acadie--Bathurst,4,Coteau Road,Cormier,Serge,Liberal,112
13001,Acadie--Bathurst,4,Coteau Road,Girouard-Riordon,Riba,Conservative,11
13001,Acadie--Bathurst,4,Coteau Road,Godin,Jason,NDP-New Democratic Party,122
13001,Acadie--Bathurst,5,Cap-Bateau,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,5,Cap-Bateau,Cormier,Serge,Liberal,106
13001,Acadie--Bathurst,5,Cap-Bateau,Girouard-Riordon,Riba,Conservative,9
13001,Acadie--Bathurst,5,Cap-Bateau,Godin,Jason,NDP-New Democratic Party,105
13001,Acadie--Bathurst,6,Cap-Bateau,Breau,Dominique,Green Party,6
13001,Acadie--Bathurst,6,Cap-Bateau,Cormier,Serge,Liberal,86
13001,Acadie--Bathurst,6,Cap-Bateau,Girouard-Riordon,Riba,Conservative,4
13001,Acadie--Bathurst,6,Cap-Bateau,Godin,Jason,NDP-New Democratic Party,133
13001,Acadie--Bathurst,7,Sainte-Marie--Saint-Raphaël,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,7,Sainte-Marie--Saint-Raphaël,Cormier,Serge,Liberal,64
13001,Acadie--Bathurst,7,Sainte-Marie--Saint-Raphaël,Girouard-Riordon,Riba,Conservative,3
13001,Acadie--Bathurst,7,Sainte-Marie--Saint-Raphaël,Godin,Jason,NDP-New Democratic Party,97
13001,Acadie--Bathurst, 8A,Lamèque,Breau,Dominique,Green Party,9
13001,Acadie--Bathurst, 8A,Lamèque,Cormier,Serge,Liberal,119
13001,Acadie--Bathurst, 8A,Lamèque,Girouard-Riordon,Riba,Conservative,12
13001,Acadie--Bathurst, 8A,Lamèque,Godin,Jason,NDP-New Democratic Party,79
13001,Acadie--Bathurst, 8B,Mobile poll/Bureau itinérant,Breau,Dominique,Green Party,0
13001,Acadie--Bathurst, 8B,Mobile poll/Bureau itinérant,Cormier,Serge,Liberal,0
13001,Acadie--Bathurst, 8B,Mobile poll/Bureau itinérant,Girouard-Riordon,Riba,Conservative,0
13001,Acadie--Bathurst, 8B,Mobile poll/Bureau itinérant,Godin,Jason,NDP-New Democratic Party,0
13001,Acadie--Bathurst,9,Lamèque,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,9,Lamèque,Cormier,Serge,Liberal,63
13001,Acadie--Bathurst,9,Lamèque,Girouard-Riordon,Riba,Conservative,16
13001,Acadie--Bathurst,9,Lamèque,Godin,Jason,NDP-New Democratic Party,61
13001,Acadie--Bathurst,10,Pointe-Alexandre,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst,10,Pointe-Alexandre,Cormier,Serge,Liberal,57
13001,Acadie--Bathurst,10,Pointe-Alexandre,Girouard-Riordon,Riba,Conservative,7
13001,Acadie--Bathurst,10,Pointe-Alexandre,Godin,Jason,NDP-New Democratic Party,68
13001,Acadie--Bathurst,11,Petite-Lamèque,Breau,Dominique,Green Party,1
13001,Acadie--Bathurst,11,Petite-Lamèque,Cormier,Serge,Liberal,60
13001,Acadie--Bathurst,11,Petite-Lamèque,Girouard-Riordon,Riba,Conservative,9
13001,Acadie--Bathurst,11,Petite-Lamèque,Godin,Jason,NDP-New Democratic Party,66
13001,Acadie--Bathurst,12,Lamèque,Breau,Dominique,Green Party,2
13001,Acadie--Bathurst,12,Lamèque,Cormier,Serge,Liberal,44
13001,Acadie--Bathurst,12,Lamèque,Girouard-Riordon,Riba,Conservative,8
13001,Acadie--Bathurst,12,Lamèque,Godin,Jason,NDP-New Democratic Party,64
13001,Acadie--Bathurst,13,Sainte-Marie--Saint-Raphaël,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst,13,Sainte-Marie--Saint-Raphaël,Cormier,Serge,Liberal,63
13001,Acadie--Bathurst,13,Sainte-Marie--Saint-Raphaël,Girouard-Riordon,Riba,Conservative,9
13001,Acadie--Bathurst,13,Sainte-Marie--Saint-Raphaël,Godin,Jason,NDP-New Democratic Party,91
13001,Acadie--Bathurst,14,Petite-Rivière-de-l'Ile,Breau,Dominique,Green Party,9
13001,Acadie--Bathurst,14,Petite-Rivière-de-l'Ile,Cormier,Serge,Liberal,79
13001,Acadie--Bathurst,14,Petite-Rivière-de-l'Ile,Girouard-Riordon,Riba,Conservative,2
13001,Acadie--Bathurst,14,Petite-Rivière-de-l'Ile,Godin,Jason,NDP-New Democratic Party,74
13001,Acadie--Bathurst,15,Petite-Rivière-de-l'Ile,Breau,Dominique,Green Party,7
13001,Acadie--Bathurst,15,Petite-Rivière-de-l'Ile,Cormier,Serge,Liberal,102
13001,Acadie--Bathurst,15,Petite-Rivière-de-l'Ile,Girouard-Riordon,Riba,Conservative,9
13001,Acadie--Bathurst,15,Petite-Rivière-de-l'Ile,Godin,Jason,NDP-New Democratic Party,117
13001,Acadie--Bathurst,16,Sainte-Cécile,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,16,Sainte-Cécile,Cormier,Serge,Liberal,57
13001,Acadie--Bathurst,16,Sainte-Cécile,Girouard-Riordon,Riba,Conservative,3
13001,Acadie--Bathurst,16,Sainte-Cécile,Godin,Jason,NDP-New Democratic Party,82
13001,Acadie--Bathurst,17,Pokesudie,Breau,Dominique,Green Party,1
13001,Acadie--Bathurst,17,Pokesudie,Cormier,Serge,Liberal,107
13001,Acadie--Bathurst,17,Pokesudie,Girouard-Riordon,Riba,Conservative,10
13001,Acadie--Bathurst,17,Pokesudie,Godin,Jason,NDP-New Democratic Party,75
13001,Acadie--Bathurst,18,Bas-Caraquet,Breau,Dominique,Green Party,2
13001,Acadie--Bathurst,18,Bas-Caraquet,Cormier,Serge,Liberal,110
13001,Acadie--Bathurst,18,Bas-Caraquet,Girouard-Riordon,Riba,Conservative,14
13001,Acadie--Bathurst,18,Bas-Caraquet,Godin,Jason,NDP-New Democratic Party,103
13001,Acadie--Bathurst,19,Bas-Caraquet,Breau,Dominique,Green Party,1
13001,Acadie--Bathurst,19,Bas-Caraquet,Cormier,Serge,Liberal,110
13001,Acadie--Bathurst,19,Bas-Caraquet,Girouard-Riordon,Riba,Conservative,11
13001,Acadie--Bathurst,19,Bas-Caraquet,Godin,Jason,NDP-New Democratic Party,99
13001,Acadie--Bathurst,20,Bas-Caraquet,Breau,Dominique,Green Party,1
13001,Acadie--Bathurst,20,Bas-Caraquet,Cormier,Serge,Liberal,81
13001,Acadie--Bathurst,20,Bas-Caraquet,Girouard-Riordon,Riba,Conservative,10
13001,Acadie--Bathurst,20,Bas-Caraquet,Godin,Jason,NDP-New Democratic Party,95
13001,Acadie--Bathurst,21,Chiasson,Breau,Dominique,Green Party,2
13001,Acadie--Bathurst,21,Chiasson,Cormier,Serge,Liberal,78
13001,Acadie--Bathurst,21,Chiasson,Girouard-Riordon,Riba,Conservative,5
13001,Acadie--Bathurst,21,Chiasson,Godin,Jason,NDP-New Democratic Party,135
13001,Acadie--Bathurst,22,Shippegan,Breau,Dominique,Green Party,6
13001,Acadie--Bathurst,22,Shippegan,Cormier,Serge,Liberal,47
13001,Acadie--Bathurst,22,Shippegan,Girouard-Riordon,Riba,Conservative,10
13001,Acadie--Bathurst,22,Shippegan,Godin,Jason,NDP-New Democratic Party,39
13001,Acadie--Bathurst, 23A,Haut-Shippegan,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst, 23A,Haut-Shippegan,Cormier,Serge,Liberal,84
13001,Acadie--Bathurst, 23A,Haut-Shippegan,Girouard-Riordon,Riba,Conservative,15
13001,Acadie--Bathurst, 23A,Haut-Shippegan,Godin,Jason,NDP-New Democratic Party,75
13001,Acadie--Bathurst, 23B,Mobile poll/Bureau itinérant,Breau,Dominique,Green Party,0
13001,Acadie--Bathurst, 23B,Mobile poll/Bureau itinérant,Cormier,Serge,Liberal,0
13001,Acadie--Bathurst, 23B,Mobile poll/Bureau itinérant,Girouard-Riordon,Riba,Conservative,0
13001,Acadie--Bathurst, 23B,Mobile poll/Bureau itinérant,Godin,Jason,NDP-New Democratic Party,0
13001,Acadie--Bathurst,24,Shippagan,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,24,Shippagan,Cormier,Serge,Liberal,76
13001,Acadie--Bathurst,24,Shippagan,Girouard-Riordon,Riba,Conservative,1
13001,Acadie--Bathurst,24,Shippagan,Godin,Jason,NDP-New Democratic Party,83
13001,Acadie--Bathurst,25,Shippagan,Breau,Dominique,Green Party,7
13001,Acadie--Bathurst,25,Shippagan,Cormier,Serge,Liberal,103
13001,Acadie--Bathurst,25,Shippagan,Girouard-Riordon,Riba,Conservative,11
13001,Acadie--Bathurst,25,Shippagan,Godin,Jason,NDP-New Democratic Party,78
13001,Acadie--Bathurst,26,Shippagan,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst,26,Shippagan,Cormier,Serge,Liberal,75
13001,Acadie--Bathurst,26,Shippagan,Girouard-Riordon,Riba,Conservative,4
