district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
10001,Avalon,1,Freshwater,Andrews,Scott,No Affiliation,39
10001,Avalon,1,Freshwater,Baldwin,Jeannie,NDP-New Democratic Party,9
10001,Avalon,1,Freshwater,Barnett,Lorraine E.,Conservative,4
10001,Avalon,1,Freshwater,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,1,Freshwater,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,1,Freshwater,McDonald,Ken,Liberal,55
10001,Avalon,2,Salmon Cove--Perry's Cove,Andrews,Scott,No Affiliation,0
10001,Avalon,2,Salmon Cove--Perry's Cove,Baldwin,Jeannie,NDP-New Democratic Party,0
10001,Avalon,2,Salmon Cove--Perry's Cove,Barnett,Lorraine E.,Conservative,0
10001,Avalon,2,Salmon Cove--Perry's Cove,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,2,Salmon Cove--Perry's Cove,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,2,Salmon Cove--Perry's Cove,McDonald,Ken,Liberal,0
10001,Avalon,3,Victoria,Andrews,Scott,No Affiliation,71
10001,Avalon,3,Victoria,Baldwin,Jeannie,NDP-New Democratic Party,16
10001,Avalon,3,Victoria,Barnett,Lorraine E.,Conservative,17
10001,Avalon,3,Victoria,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,3,Victoria,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,1
10001,Avalon,3,Victoria,McDonald,Ken,Liberal,86
10001,Avalon,4,Victoria,Andrews,Scott,No Affiliation,59
10001,Avalon,4,Victoria,Baldwin,Jeannie,NDP-New Democratic Party,29
10001,Avalon,4,Victoria,Barnett,Lorraine E.,Conservative,38
10001,Avalon,4,Victoria,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,4,Victoria,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,4,Victoria,McDonald,Ken,Liberal,87
10001,Avalon,5,Victoria,Andrews,Scott,No Affiliation,61
10001,Avalon,5,Victoria,Baldwin,Jeannie,NDP-New Democratic Party,22
10001,Avalon,5,Victoria,Barnett,Lorraine E.,Conservative,14
10001,Avalon,5,Victoria,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,5,Victoria,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,1
10001,Avalon,5,Victoria,McDonald,Ken,Liberal,85
10001,Avalon,6,Victoria,Andrews,Scott,No Affiliation,59
10001,Avalon,6,Victoria,Baldwin,Jeannie,NDP-New Democratic Party,9
10001,Avalon,6,Victoria,Barnett,Lorraine E.,Conservative,13
10001,Avalon,6,Victoria,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,6,Victoria,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,6,Victoria,McDonald,Ken,Liberal,45
10001,Avalon,7,Carbonear,Andrews,Scott,No Affiliation,45
10001,Avalon,7,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,31
10001,Avalon,7,Carbonear,Barnett,Lorraine E.,Conservative,11
10001,Avalon,7,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,7,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,7,Carbonear,McDonald,Ken,Liberal,74
10001,Avalon,8,Carbonear,Andrews,Scott,No Affiliation,43
10001,Avalon,8,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,31
10001,Avalon,8,Carbonear,Barnett,Lorraine E.,Conservative,17
10001,Avalon,8,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,8,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,8,Carbonear,McDonald,Ken,Liberal,97
10001,Avalon,9,Carbonear,Andrews,Scott,No Affiliation,55
10001,Avalon,9,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,18
10001,Avalon,9,Carbonear,Barnett,Lorraine E.,Conservative,13
10001,Avalon,9,Carbonear,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,9,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,9,Carbonear,McDonald,Ken,Liberal,103
10001,Avalon,10,Carbonear,Andrews,Scott,No Affiliation,48
10001,Avalon,10,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,15
10001,Avalon,10,Carbonear,Barnett,Lorraine E.,Conservative,15
10001,Avalon,10,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,10,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,10,Carbonear,McDonald,Ken,Liberal,78
10001,Avalon,11,Carbonear,Andrews,Scott,No Affiliation,33
10001,Avalon,11,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,9
10001,Avalon,11,Carbonear,Barnett,Lorraine E.,Conservative,18
10001,Avalon,11,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,11,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,11,Carbonear,McDonald,Ken,Liberal,84
10001,Avalon,12,Carbonear,Andrews,Scott,No Affiliation,43
10001,Avalon,12,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,20
10001,Avalon,12,Carbonear,Barnett,Lorraine E.,Conservative,16
10001,Avalon,12,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,12,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,12,Carbonear,McDonald,Ken,Liberal,120
10001,Avalon,13,Harbour Grace--Bristol's Hope,Andrews,Scott,No Affiliation,54
10001,Avalon,13,Harbour Grace--Bristol's Hope,Baldwin,Jeannie,NDP-New Democratic Party,25
10001,Avalon,13,Harbour Grace--Bristol's Hope,Barnett,Lorraine E.,Conservative,33
10001,Avalon,13,Harbour Grace--Bristol's Hope,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,13,Harbour Grace--Bristol's Hope,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,13,Harbour Grace--Bristol's Hope,McDonald,Ken,Liberal,128
10001,Avalon,14,Harbour Grace,Andrews,Scott,No Affiliation,44
10001,Avalon,14,Harbour Grace,Baldwin,Jeannie,NDP-New Democratic Party,15
10001,Avalon,14,Harbour Grace,Barnett,Lorraine E.,Conservative,16
10001,Avalon,14,Harbour Grace,Byrne-Puumala,Krista,Green Party,2
10001,Avalon,14,Harbour Grace,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,14,Harbour Grace,McDonald,Ken,Liberal,99
10001,Avalon,15,Harbour Grace,Andrews,Scott,No Affiliation,40
10001,Avalon,15,Harbour Grace,Baldwin,Jeannie,NDP-New Democratic Party,14
10001,Avalon,15,Harbour Grace,Barnett,Lorraine E.,Conservative,6
10001,Avalon,15,Harbour Grace,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,15,Harbour Grace,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,15,Harbour Grace,McDonald,Ken,Liberal,50
10001,Avalon,16,Carbonear,Andrews,Scott,No Affiliation,49
10001,Avalon,16,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,8
10001,Avalon,16,Carbonear,Barnett,Lorraine E.,Conservative,19
10001,Avalon,16,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,16,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,1
10001,Avalon,16,Carbonear,McDonald,Ken,Liberal,83
10001,Avalon,17,Carbonear,Andrews,Scott,No Affiliation,43
10001,Avalon,17,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,14
10001,Avalon,17,Carbonear,Barnett,Lorraine E.,Conservative,18
10001,Avalon,17,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,17,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,17,Carbonear,McDonald,Ken,Liberal,73
10001,Avalon,18,Carbonear,Andrews,Scott,No Affiliation,28
10001,Avalon,18,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,11
10001,Avalon,18,Carbonear,Barnett,Lorraine E.,Conservative,11
10001,Avalon,18,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,18,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,18,Carbonear,McDonald,Ken,Liberal,96
10001,Avalon,19,Carbonear,Andrews,Scott,No Affiliation,27
10001,Avalon,19,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,17
10001,Avalon,19,Carbonear,Barnett,Lorraine E.,Conservative,19
10001,Avalon,19,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,19,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,19,Carbonear,McDonald,Ken,Liberal,86
10001,Avalon,20,Carbonear,Andrews,Scott,No Affiliation,25
10001,Avalon,20,Carbonear,Baldwin,Jeannie,NDP-New Democratic Party,17
10001,Avalon,20,Carbonear,Barnett,Lorraine E.,Conservative,12
10001,Avalon,20,Carbonear,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,20,Carbonear,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,1
10001,Avalon,20,Carbonear,McDonald,Ken,Liberal,99
10001,Avalon,21,Bryant's Cove,Andrews,Scott,No Affiliation,15
10001,Avalon,21,Bryant's Cove,Baldwin,Jeannie,NDP-New Democratic Party,12
10001,Avalon,21,Bryant's Cove,Barnett,Lorraine E.,Conservative,8
10001,Avalon,21,Bryant's Cove,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,21,Bryant's Cove,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,21,Bryant's Cove,McDonald,Ken,Liberal,133
10001,Avalon,22,Upper Island Cove,Andrews,Scott,No Affiliation,63
10001,Avalon,22,Upper Island Cove,Baldwin,Jeannie,NDP-New Democratic Party,12
10001,Avalon,22,Upper Island Cove,Barnett,Lorraine E.,Conservative,13
10001,Avalon,22,Upper Island Cove,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,22,Upper Island Cove,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,22,Upper Island Cove,McDonald,Ken,Liberal,142
10001,Avalon,23,Upper Island Cove,Andrews,Scott,No Affiliation,35
10001,Avalon,23,Upper Island Cove,Baldwin,Jeannie,NDP-New Democratic Party,12
10001,Avalon,23,Upper Island Cove,Barnett,Lorraine E.,Conservative,10
10001,Avalon,23,Upper Island Cove,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,23,Upper Island Cove,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,23,Upper Island Cove,McDonald,Ken,Liberal,75
10001,Avalon,24,Upper Island Cove,Andrews,Scott,No Affiliation,30
10001,Avalon,24,Upper Island Cove,Baldwin,Jeannie,NDP-New Democratic Party,9
10001,Avalon,24,Upper Island Cove,Barnett,Lorraine E.,Conservative,7
10001,Avalon,24,Upper Island Cove,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,24,Upper Island Cove,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,24,Upper Island Cove,McDonald,Ken,Liberal,70
10001,Avalon,25,Upper Island Cove,Andrews,Scott,No Affiliation,47
10001,Avalon,25,Upper Island Cove,Baldwin,Jeannie,NDP-New Democratic Party,23
10001,Avalon,25,Upper Island Cove,Barnett,Lorraine E.,Conservative,11
10001,Avalon,25,Upper Island Cove,Byrne-Puumala,Krista,Green Party,2
10001,Avalon,25,Upper Island Cove,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,25,Upper Island Cove,McDonald,Ken,Liberal,101
10001,Avalon,26,Harbour Grace South,Andrews,Scott,No Affiliation,29
10001,Avalon,26,Harbour Grace South,Baldwin,Jeannie,NDP-New Democratic Party,13
10001,Avalon,26,Harbour Grace South,Barnett,Lorraine E.,Conservative,9
10001,Avalon,26,Harbour Grace South,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,26,Harbour Grace South,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,26,Harbour Grace South,McDonald,Ken,Liberal,62
10001,Avalon,27,Harbour Grace South,Andrews,Scott,No Affiliation,32
10001,Avalon,27,Harbour Grace South,Baldwin,Jeannie,NDP-New Democratic Party,10
10001,Avalon,27,Harbour Grace South,Barnett,Lorraine E.,Conservative,17
10001,Avalon,27,Harbour Grace South,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,27,Harbour Grace South,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,27,Harbour Grace South,McDonald,Ken,Liberal,70
10001,Avalon,28,Riverhead--Harbour Grace,Andrews,Scott,No Affiliation,19
10001,Avalon,28,Riverhead--Harbour Grace,Baldwin,Jeannie,NDP-New Democratic Party,22
10001,Avalon,28,Riverhead--Harbour Grace,Barnett,Lorraine E.,Conservative,9
10001,Avalon,28,Riverhead--Harbour Grace,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,28,Riverhead--Harbour Grace,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,28,Riverhead--Harbour Grace,McDonald,Ken,Liberal,42
10001,Avalon,29,Harbour Grace,Andrews,Scott,No Affiliation,27
10001,Avalon,29,Harbour Grace,Baldwin,Jeannie,NDP-New Democratic Party,14
10001,Avalon,29,Harbour Grace,Barnett,Lorraine E.,Conservative,18
10001,Avalon,29,Harbour Grace,Byrne-Puumala,Krista,Green Party,3
10001,Avalon,29,Harbour Grace,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,2
10001,Avalon,29,Harbour Grace,McDonald,Ken,Liberal,84
10001,Avalon,30,Harbour Grace,Andrews,Scott,No Affiliation,65
10001,Avalon,30,Harbour Grace,Baldwin,Jeannie,NDP-New Democratic Party,13
10001,Avalon,30,Harbour Grace,Barnett,Lorraine E.,Conservative,27
10001,Avalon,30,Harbour Grace,Byrne-Puumala,Krista,Green Party,1
10001,Avalon,30,Harbour Grace,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,1
10001,Avalon,30,Harbour Grace,McDonald,Ken,Liberal,81
10001,Avalon,31,Harbour Grace,Andrews,Scott,No Affiliation,47
10001,Avalon,31,Harbour Grace,Baldwin,Jeannie,NDP-New Democratic Party,17
10001,Avalon,31,Harbour Grace,Barnett,Lorraine E.,Conservative,7
10001,Avalon,31,Harbour Grace,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,31,Harbour Grace,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,31,Harbour Grace,McDonald,Ken,Liberal,68
10001,Avalon,32,Spaniard's Bay,Andrews,Scott,No Affiliation,46
10001,Avalon,32,Spaniard's Bay,Baldwin,Jeannie,NDP-New Democratic Party,16
10001,Avalon,32,Spaniard's Bay,Barnett,Lorraine E.,Conservative,11
10001,Avalon,32,Spaniard's Bay,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,32,Spaniard's Bay,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,32,Spaniard's Bay,McDonald,Ken,Liberal,69
10001,Avalon,33,Spaniard's Bay,Andrews,Scott,No Affiliation,55
10001,Avalon,33,Spaniard's Bay,Baldwin,Jeannie,NDP-New Democratic Party,18
10001,Avalon,33,Spaniard's Bay,Barnett,Lorraine E.,Conservative,20
10001,Avalon,33,Spaniard's Bay,Byrne-Puumala,Krista,Green Party,0
10001,Avalon,33,Spaniard's Bay,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon,33,Spaniard's Bay,McDonald,Ken,Liberal,121
10001,Avalon, 34A,Spaniard's Bay,Andrews,Scott,No Affiliation,45
10001,Avalon, 34A,Spaniard's Bay,Baldwin,Jeannie,NDP-New Democratic Party,24
10001,Avalon, 34A,Spaniard's Bay,Barnett,Lorraine E.,Conservative,15
10001,Avalon, 34A,Spaniard's Bay,Byrne-Puumala,Krista,Green Party,2
10001,Avalon, 34A,Spaniard's Bay,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon, 34A,Spaniard's Bay,McDonald,Ken,Liberal,110
10001,Avalon, 34B,Spaniard's Bay,Andrews,Scott,No Affiliation,0
10001,Avalon, 34B,Spaniard's Bay,Baldwin,Jeannie,NDP-New Democratic Party,0
10001,Avalon, 34B,Spaniard's Bay,Barnett,Lorraine E.,Conservative,0
10001,Avalon, 34B,Spaniard's Bay,Byrne-Puumala,Krista,Green Party,0
10001,Avalon, 34B,Spaniard's Bay,McCreath,Jennifer,Forces et Démocratie - Allier les forces de nos régions,0
10001,Avalon, 34B,Spaniard's Bay,McDonald,Ken,Liberal,0
