district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
61001,Northwest Territories,1,Sachs Harbour,Bevington,Dennis Fraser,NDP-New Democratic Party,9
61001,Northwest Territories,1,Sachs Harbour,McLeod,Michael,Liberal,31
61001,Northwest Territories,1,Sachs Harbour,Moore,John,Green Party,2
61001,Northwest Territories,1,Sachs Harbour,Roland,Floyd,Conservative,7
61001,Northwest Territories,2,Ulukhaktok,Bevington,Dennis Fraser,NDP-New Democratic Party,50
61001,Northwest Territories,2,Ulukhaktok,McLeod,Michael,Liberal,58
61001,Northwest Territories,2,Ulukhaktok,Moore,John,Green Party,7
61001,Northwest Territories,2,Ulukhaktok,Roland,Floyd,Conservative,34
61001,Northwest Territories,3,Inuvik,Bevington,Dennis Fraser,NDP-New Democratic Party,48
61001,Northwest Territories,3,Inuvik,McLeod,Michael,Liberal,64
61001,Northwest Territories,3,Inuvik,Moore,John,Green Party,4
61001,Northwest Territories,3,Inuvik,Roland,Floyd,Conservative,36
61001,Northwest Territories,4,Tuktoyaktuk,Bevington,Dennis Fraser,NDP-New Democratic Party,59
61001,Northwest Territories,4,Tuktoyaktuk,McLeod,Michael,Liberal,142
61001,Northwest Territories,4,Tuktoyaktuk,Moore,John,Green Party,6
61001,Northwest Territories,4,Tuktoyaktuk,Roland,Floyd,Conservative,96
61001,Northwest Territories,5,Paulatuk,Bevington,Dennis Fraser,NDP-New Democratic Party,18
61001,Northwest Territories,5,Paulatuk,McLeod,Michael,Liberal,87
61001,Northwest Territories,5,Paulatuk,Moore,John,Green Party,1
61001,Northwest Territories,5,Paulatuk,Roland,Floyd,Conservative,15
61001,Northwest Territories,6,Aklavik,Bevington,Dennis Fraser,NDP-New Democratic Party,50
61001,Northwest Territories,6,Aklavik,McLeod,Michael,Liberal,139
61001,Northwest Territories,6,Aklavik,Moore,John,Green Party,0
61001,Northwest Territories,6,Aklavik,Roland,Floyd,Conservative,28
61001,Northwest Territories,7,Inuvik,Bevington,Dennis Fraser,NDP-New Democratic Party,73
61001,Northwest Territories,7,Inuvik,McLeod,Michael,Liberal,109
61001,Northwest Territories,7,Inuvik,Moore,John,Green Party,4
61001,Northwest Territories,7,Inuvik,Roland,Floyd,Conservative,63
61001,Northwest Territories, 8A,Inuvik,Bevington,Dennis Fraser,NDP-New Democratic Party,32
61001,Northwest Territories, 8A,Inuvik,McLeod,Michael,Liberal,65
61001,Northwest Territories, 8A,Inuvik,Moore,John,Green Party,4
61001,Northwest Territories, 8A,Inuvik,Roland,Floyd,Conservative,35
61001,Northwest Territories, 8B,Inuvik,Bevington,Dennis Fraser,NDP-New Democratic Party,49
61001,Northwest Territories, 8B,Inuvik,McLeod,Michael,Liberal,80
61001,Northwest Territories, 8B,Inuvik,Moore,John,Green Party,5
61001,Northwest Territories, 8B,Inuvik,Roland,Floyd,Conservative,49
61001,Northwest Territories,9,Inuvik,Bevington,Dennis Fraser,NDP-New Democratic Party,78
