district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
12001,Cape Breton--Canso,1,Chéticamp,Coady,Maria Goretti,Green Party,3
12001,Cape Breton--Canso,1,Chéticamp,Cuzner,Rodger,Liberal,101
12001,Cape Breton--Canso,1,Chéticamp,Rodgers,Adam Daniel,Conservative,17
12001,Cape Breton--Canso,1,Chéticamp,Smith,Michelle,NDP-New Democratic Party,6
12001,Cape Breton--Canso,2,Belle-Marche,Coady,Maria Goretti,Green Party,4
12001,Cape Breton--Canso,2,Belle-Marche,Cuzner,Rodger,Liberal,97
12001,Cape Breton--Canso,2,Belle-Marche,Rodgers,Adam Daniel,Conservative,22
12001,Cape Breton--Canso,2,Belle-Marche,Smith,Michelle,NDP-New Democratic Party,5
12001,Cape Breton--Canso,3,Chéticamp,Coady,Maria Goretti,Green Party,5
12001,Cape Breton--Canso,3,Chéticamp,Cuzner,Rodger,Liberal,90
12001,Cape Breton--Canso,3,Chéticamp,Rodgers,Adam Daniel,Conservative,10
12001,Cape Breton--Canso,3,Chéticamp,Smith,Michelle,NDP-New Democratic Party,5
12001,Cape Breton--Canso,4,Chéticamp,Coady,Maria Goretti,Green Party,6
12001,Cape Breton--Canso,4,Chéticamp,Cuzner,Rodger,Liberal,166
12001,Cape Breton--Canso,4,Chéticamp,Rodgers,Adam Daniel,Conservative,27
12001,Cape Breton--Canso,4,Chéticamp,Smith,Michelle,NDP-New Democratic Party,11
12001,Cape Breton--Canso,5,Belle-Marche,Coady,Maria Goretti,Green Party,8
12001,Cape Breton--Canso,5,Belle-Marche,Cuzner,Rodger,Liberal,177
12001,Cape Breton--Canso,5,Belle-Marche,Rodgers,Adam Daniel,Conservative,42
12001,Cape Breton--Canso,5,Belle-Marche,Smith,Michelle,NDP-New Democratic Party,14
12001,Cape Breton--Canso,6,Chéticamp,Coady,Maria Goretti,Green Party,1
12001,Cape Breton--Canso,6,Chéticamp,Cuzner,Rodger,Liberal,62
12001,Cape Breton--Canso,6,Chéticamp,Rodgers,Adam Daniel,Conservative,8
12001,Cape Breton--Canso,6,Chéticamp,Smith,Michelle,NDP-New Democratic Party,1
12001,Cape Breton--Canso,7,Plateau,Coady,Maria Goretti,Green Party,3
12001,Cape Breton--Canso,7,Plateau,Cuzner,Rodger,Liberal,162
12001,Cape Breton--Canso,7,Plateau,Rodgers,Adam Daniel,Conservative,27
12001,Cape Breton--Canso,7,Plateau,Smith,Michelle,NDP-New Democratic Party,10
12001,Cape Breton--Canso,8,Point Cross,Coady,Maria Goretti,Green Party,6
12001,Cape Breton--Canso,8,Point Cross,Cuzner,Rodger,Liberal,125
12001,Cape Breton--Canso,8,Point Cross,Rodgers,Adam Daniel,Conservative,27
12001,Cape Breton--Canso,8,Point Cross,Smith,Michelle,NDP-New Democratic Party,4
12001,Cape Breton--Canso,9,St. Joseph du Moine,Coady,Maria Goretti,Green Party,4
12001,Cape Breton--Canso,9,St. Joseph du Moine,Cuzner,Rodger,Liberal,67
12001,Cape Breton--Canso,9,St. Joseph du Moine,Rodgers,Adam Daniel,Conservative,21
12001,Cape Breton--Canso,9,St. Joseph du Moine,Smith,Michelle,NDP-New Democratic Party,0
12001,Cape Breton--Canso,10,Big Intervale,Coady,Maria Goretti,Green Party,11
12001,Cape Breton--Canso,10,Big Intervale,Cuzner,Rodger,Liberal,90
12001,Cape Breton--Canso,10,Big Intervale,Rodgers,Adam Daniel,Conservative,36
12001,Cape Breton--Canso,10,Big Intervale,Smith,Michelle,NDP-New Democratic Party,13
12001,Cape Breton--Canso,11,North East Margaree,Coady,Maria Goretti,Green Party,24
12001,Cape Breton--Canso,11,North East Margaree,Cuzner,Rodger,Liberal,163
12001,Cape Breton--Canso,11,North East Margaree,Rodgers,Adam Daniel,Conservative,55
12001,Cape Breton--Canso,11,North East Margaree,Smith,Michelle,NDP-New Democratic Party,7
12001,Cape Breton--Canso,12,Belle Côte,Coady,Maria Goretti,Green Party,6
12001,Cape Breton--Canso,12,Belle Côte,Cuzner,Rodger,Liberal,70
12001,Cape Breton--Canso,12,Belle Côte,Rodgers,Adam Daniel,Conservative,20
12001,Cape Breton--Canso,12,Belle Côte,Smith,Michelle,NDP-New Democratic Party,5
12001,Cape Breton--Canso,13,Margaree Harbour,Coady,Maria Goretti,Green Party,8
12001,Cape Breton--Canso,13,Margaree Harbour,Cuzner,Rodger,Liberal,59
12001,Cape Breton--Canso,13,Margaree Harbour,Rodgers,Adam Daniel,Conservative,12
12001,Cape Breton--Canso,13,Margaree Harbour,Smith,Michelle,NDP-New Democratic Party,10
12001,Cape Breton--Canso,14,Margaree,Coady,Maria Goretti,Green Party,8
12001,Cape Breton--Canso,14,Margaree,Cuzner,Rodger,Liberal,87
12001,Cape Breton--Canso,14,Margaree,Rodgers,Adam Daniel,Conservative,26
12001,Cape Breton--Canso,14,Margaree,Smith,Michelle,NDP-New Democratic Party,11
12001,Cape Breton--Canso,15,Margaree Forks,Coady,Maria Goretti,Green Party,16
12001,Cape Breton--Canso,15,Margaree Forks,Cuzner,Rodger,Liberal,79
12001,Cape Breton--Canso,15,Margaree Forks,Rodgers,Adam Daniel,Conservative,21
12001,Cape Breton--Canso,15,Margaree Forks,Smith,Michelle,NDP-New Democratic Party,4
12001,Cape Breton--Canso,16,Dunvegan,Coady,Maria Goretti,Green Party,8
12001,Cape Breton--Canso,16,Dunvegan,Cuzner,Rodger,Liberal,89
12001,Cape Breton--Canso,16,Dunvegan,Rodgers,Adam Daniel,Conservative,26
12001,Cape Breton--Canso,16,Dunvegan,Smith,Michelle,NDP-New Democratic Party,4
12001,Cape Breton--Canso,17,Scotsville,Coady,Maria Goretti,Green Party,4
12001,Cape Breton--Canso,17,Scotsville,Cuzner,Rodger,Liberal,135
12001,Cape Breton--Canso,17,Scotsville,Rodgers,Adam Daniel,Conservative,23
12001,Cape Breton--Canso,17,Scotsville,Smith,Michelle,NDP-New Democratic Party,7
