district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
62001,Nunavut,1,Grise Fiord,Aglukkaq,Leona,Conservative,14
62001,Nunavut,1,Grise Fiord,Anawak,Jack Iyerak,NDP-New Democratic Party,11
62001,Nunavut,1,Grise Fiord,Rocchi,Spencer,Green Party,0
62001,Nunavut,1,Grise Fiord,Tootoo,Hunter,Liberal,22
62001,Nunavut,2,Resolute Bay,Aglukkaq,Leona,Conservative,15
62001,Nunavut,2,Resolute Bay,Anawak,Jack Iyerak,NDP-New Democratic Party,18
62001,Nunavut,2,Resolute Bay,Rocchi,Spencer,Green Party,4
62001,Nunavut,2,Resolute Bay,Tootoo,Hunter,Liberal,54
62001,Nunavut, 3A,Pond Inlet,Aglukkaq,Leona,Conservative,92
62001,Nunavut, 3A,Pond Inlet,Anawak,Jack Iyerak,NDP-New Democratic Party,63
62001,Nunavut, 3A,Pond Inlet,Rocchi,Spencer,Green Party,5
62001,Nunavut, 3A,Pond Inlet,Tootoo,Hunter,Liberal,79
62001,Nunavut, 3B,Pond Inlet,Aglukkaq,Leona,Conservative,60
62001,Nunavut, 3B,Pond Inlet,Anawak,Jack Iyerak,NDP-New Democratic Party,53
62001,Nunavut, 3B,Pond Inlet,Rocchi,Spencer,Green Party,1
62001,Nunavut, 3B,Pond Inlet,Tootoo,Hunter,Liberal,84
62001,Nunavut,4,Arctic Bay,Aglukkaq,Leona,Conservative,79
62001,Nunavut,4,Arctic Bay,Anawak,Jack Iyerak,NDP-New Democratic Party,55
62001,Nunavut,4,Arctic Bay,Rocchi,Spencer,Green Party,4
62001,Nunavut,4,Arctic Bay,Tootoo,Hunter,Liberal,63
62001,Nunavut,5,Taloyoak,Aglukkaq,Leona,Conservative,116
62001,Nunavut,5,Taloyoak,Anawak,Jack Iyerak,NDP-New Democratic Party,64
62001,Nunavut,5,Taloyoak,Rocchi,Spencer,Green Party,1
62001,Nunavut,5,Taloyoak,Tootoo,Hunter,Liberal,138
62001,Nunavut,6,Clyde River,Aglukkaq,Leona,Conservative,40
62001,Nunavut,6,Clyde River,Anawak,Jack Iyerak,NDP-New Democratic Party,113
62001,Nunavut,6,Clyde River,Rocchi,Spencer,Green Party,2
62001,Nunavut,6,Clyde River,Tootoo,Hunter,Liberal,166
62001,Nunavut,7,Qikiqtarjuaq,Aglukkaq,Leona,Conservative,95
62001,Nunavut,7,Qikiqtarjuaq,Anawak,Jack Iyerak,NDP-New Democratic Party,36
62001,Nunavut,7,Qikiqtarjuaq,Rocchi,Spencer,Green Party,4
62001,Nunavut,7,Qikiqtarjuaq,Tootoo,Hunter,Liberal,50
62001,Nunavut, 8A,Igloolik,Aglukkaq,Leona,Conservative,66
62001,Nunavut, 8A,Igloolik,Anawak,Jack Iyerak,NDP-New Democratic Party,207
62001,Nunavut, 8A,Igloolik,Rocchi,Spencer,Green Party,3
62001,Nunavut, 8A,Igloolik,Tootoo,Hunter,Liberal,185
62001,Nunavut, 8B,Igloolik,Aglukkaq,Leona,Conservative,0
62001,Nunavut, 8B,Igloolik,Anawak,Jack Iyerak,NDP-New Democratic Party,0
62001,Nunavut, 8B,Igloolik,Rocchi,Spencer,Green Party,0
62001,Nunavut, 8B,Igloolik,Tootoo,Hunter,Liberal,0
62001,Nunavut, 9A,Kugluktuk,Aglukkaq,Leona,Conservative,67
62001,Nunavut, 9A,Kugluktuk,Anawak,Jack Iyerak,NDP-New Democratic Party,41
62001,Nunavut, 9A,Kugluktuk,Rocchi,Spencer,Green Party,2
62001,Nunavut, 9A,Kugluktuk,Tootoo,Hunter,Liberal,104
62001,Nunavut, 9B,Kugluktuk,Aglukkaq,Leona,Conservative,58
62001,Nunavut, 9B,Kugluktuk,Anawak,Jack Iyerak,NDP-New Democratic Party,33
62001,Nunavut, 9B,Kugluktuk,Rocchi,Spencer,Green Party,9
62001,Nunavut, 9B,Kugluktuk,Tootoo,Hunter,Liberal,98
62001,Nunavut, 10A,Cambridge Bay,Aglukkaq,Leona,Conservative,80
62001,Nunavut, 10A,Cambridge Bay,Anawak,Jack Iyerak,NDP-New Democratic Party,80
62001,Nunavut, 10A,Cambridge Bay,Rocchi,Spencer,Green Party,3
62001,Nunavut, 10A,Cambridge Bay,Tootoo,Hunter,Liberal,152
62001,Nunavut, 10B,Cambridge Bay,Aglukkaq,Leona,Conservative,71
62001,Nunavut, 10B,Cambridge Bay,Anawak,Jack Iyerak,NDP-New Democratic Party,81
62001,Nunavut, 10B,Cambridge Bay,Rocchi,Spencer,Green Party,6
62001,Nunavut, 10B,Cambridge Bay,Tootoo,Hunter,Liberal,169
62001,Nunavut, 11A,Gjoa Haven,Aglukkaq,Leona,Conservative,141
62001,Nunavut, 11A,Gjoa Haven,Anawak,Jack Iyerak,NDP-New Democratic Party,48
62001,Nunavut, 11A,Gjoa Haven,Rocchi,Spencer,Green Party,0
62001,Nunavut, 11A,Gjoa Haven,Tootoo,Hunter,Liberal,41
62001,Nunavut, 11B,Gjoa Haven,Aglukkaq,Leona,Conservative,109
62001,Nunavut, 11B,Gjoa Haven,Anawak,Jack Iyerak,NDP-New Democratic Party,37
62001,Nunavut, 11B,Gjoa Haven,Rocchi,Spencer,Green Party,5
62001,Nunavut, 11B,Gjoa Haven,Tootoo,Hunter,Liberal,57
62001,Nunavut,12,Kugaaruk,Aglukkaq,Leona,Conservative,45
62001,Nunavut,12,Kugaaruk,Anawak,Jack Iyerak,NDP-New Democratic Party,123
62001,Nunavut,12,Kugaaruk,Rocchi,Spencer,Green Party,3
62001,Nunavut,12,Kugaaruk,Tootoo,Hunter,Liberal,58
62001,Nunavut,13,Hall Beach,Aglukkaq,Leona,Conservative,42
62001,Nunavut,13,Hall Beach,Anawak,Jack Iyerak,NDP-New Democratic Party,65
62001,Nunavut,13,Hall Beach,Rocchi,Spencer,Green Party,6
62001,Nunavut,13,Hall Beach,Tootoo,Hunter,Liberal,94
62001,Nunavut,14,Repulse Bay,Aglukkaq,Leona,Conservative,88
62001,Nunavut,14,Repulse Bay,Anawak,Jack Iyerak,NDP-New Democratic Party,102
62001,Nunavut,14,Repulse Bay,Rocchi,Spencer,Green Party,2
62001,Nunavut,14,Repulse Bay,Tootoo,Hunter,Liberal,40
62001,Nunavut, 15A,Cape Dorset,Aglukkaq,Leona,Conservative,79
62001,Nunavut, 15A,Cape Dorset,Anawak,Jack Iyerak,NDP-New Democratic Party,101
62001,Nunavut, 15A,Cape Dorset,Rocchi,Spencer,Green Party,3
62001,Nunavut, 15A,Cape Dorset,Tootoo,Hunter,Liberal,170
62001,Nunavut, 15B,Cape Dorset,Aglukkaq,Leona,Conservative,0
62001,Nunavut, 15B,Cape Dorset,Anawak,Jack Iyerak,NDP-New Democratic Party,0
62001,Nunavut, 15B,Cape Dorset,Rocchi,Spencer,Green Party,0
