district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
11001,Cardigan,1,North Lake,Cann,Billy,NDP-New Democratic Party,22
11001,Cardigan,1,North Lake,Doyle,Teresa,Green Party,15
11001,Cardigan,1,North Lake,MacAulay,Lawrence,Liberal,109
11001,Cardigan,1,North Lake,Patkai,Julius,Conservative,18
11001,Cardigan,1,North Lake,Squires,Christene,Christian Heritage Party,6
11001,Cardigan,2,Red Point,Cann,Billy,NDP-New Democratic Party,19
11001,Cardigan,2,Red Point,Doyle,Teresa,Green Party,5
11001,Cardigan,2,Red Point,MacAulay,Lawrence,Liberal,127
11001,Cardigan,2,Red Point,Patkai,Julius,Conservative,30
11001,Cardigan,2,Red Point,Squires,Christene,Christian Heritage Party,8
11001,Cardigan,3,New Zealand,Cann,Billy,NDP-New Democratic Party,14
11001,Cardigan,3,New Zealand,Doyle,Teresa,Green Party,9
11001,Cardigan,3,New Zealand,MacAulay,Lawrence,Liberal,93
11001,Cardigan,3,New Zealand,Patkai,Julius,Conservative,19
11001,Cardigan,3,New Zealand,Squires,Christene,Christian Heritage Party,1
11001,Cardigan,4,Chepstow,Cann,Billy,NDP-New Democratic Party,20
11001,Cardigan,4,Chepstow,Doyle,Teresa,Green Party,6
11001,Cardigan,4,Chepstow,MacAulay,Lawrence,Liberal,113
11001,Cardigan,4,Chepstow,Patkai,Julius,Conservative,49
11001,Cardigan,4,Chepstow,Squires,Christene,Christian Heritage Party,3
11001,Cardigan,5,Souris River,Cann,Billy,NDP-New Democratic Party,21
11001,Cardigan,5,Souris River,Doyle,Teresa,Green Party,12
11001,Cardigan,5,Souris River,MacAulay,Lawrence,Liberal,105
11001,Cardigan,5,Souris River,Patkai,Julius,Conservative,17
11001,Cardigan,5,Souris River,Squires,Christene,Christian Heritage Party,3
11001,Cardigan,6,Souris,Cann,Billy,NDP-New Democratic Party,15
11001,Cardigan,6,Souris,Doyle,Teresa,Green Party,6
11001,Cardigan,6,Souris,MacAulay,Lawrence,Liberal,77
11001,Cardigan,6,Souris,Patkai,Julius,Conservative,26
11001,Cardigan,6,Souris,Squires,Christene,Christian Heritage Party,3
11001,Cardigan,7,Souris East,Cann,Billy,NDP-New Democratic Party,18
11001,Cardigan,7,Souris East,Doyle,Teresa,Green Party,6
11001,Cardigan,7,Souris East,MacAulay,Lawrence,Liberal,115
11001,Cardigan,7,Souris East,Patkai,Julius,Conservative,26
11001,Cardigan,7,Souris East,Squires,Christene,Christian Heritage Party,0
11001,Cardigan,8,Souris West,Cann,Billy,NDP-New Democratic Party,17
11001,Cardigan,8,Souris West,Doyle,Teresa,Green Party,4
11001,Cardigan,8,Souris West,MacAulay,Lawrence,Liberal,118
11001,Cardigan,8,Souris West,Patkai,Julius,Conservative,15
11001,Cardigan,8,Souris West,Squires,Christene,Christian Heritage Party,2
11001,Cardigan,9,Fortune,Cann,Billy,NDP-New Democratic Party,28
11001,Cardigan,9,Fortune,Doyle,Teresa,Green Party,15
11001,Cardigan,9,Fortune,MacAulay,Lawrence,Liberal,131
11001,Cardigan,9,Fortune,Patkai,Julius,Conservative,40
11001,Cardigan,9,Fortune,Squires,Christene,Christian Heritage Party,3
11001,Cardigan,10,Saint-Charles,Cann,Billy,NDP-New Democratic Party,26
11001,Cardigan,10,Saint-Charles,Doyle,Teresa,Green Party,7
11001,Cardigan,10,Saint-Charles,MacAulay,Lawrence,Liberal,124
11001,Cardigan,10,Saint-Charles,Patkai,Julius,Conservative,11
11001,Cardigan,10,Saint-Charles,Squires,Christene,Christian Heritage Party,3
11001,Cardigan,11,Cable Head,Cann,Billy,NDP-New Democratic Party,34
11001,Cardigan,11,Cable Head,Doyle,Teresa,Green Party,11
11001,Cardigan,11,Cable Head,MacAulay,Lawrence,Liberal,169
11001,Cardigan,11,Cable Head,Patkai,Julius,Conservative,43
11001,Cardigan,11,Cable Head,Squires,Christene,Christian Heritage Party,17
11001,Cardigan,12,Five Houses,Cann,Billy,NDP-New Democratic Party,16
11001,Cardigan,12,Five Houses,Doyle,Teresa,Green Party,8
11001,Cardigan,12,Five Houses,MacAulay,Lawrence,Liberal,149
11001,Cardigan,12,Five Houses,Patkai,Julius,Conservative,38
