district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
47001,Battlefords--Lloydminster, 1A,Onion Lake,Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster, 1A,Onion Lake,Ingram,Larry,Liberal,180
47001,Battlefords--Lloydminster, 1A,Onion Lake,Ritz,Gerry,Conservative,6
47001,Battlefords--Lloydminster, 1A,Onion Lake,Tait,Glenn,NDP-New Democratic Party,257
47001,Battlefords--Lloydminster, 1A,Onion Lake,Tenkink,Mikaela,Green Party,1
47001,Battlefords--Lloydminster, 1B,Onion Lake,Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster, 1B,Onion Lake,Ingram,Larry,Liberal,109
47001,Battlefords--Lloydminster, 1B,Onion Lake,Ritz,Gerry,Conservative,15
47001,Battlefords--Lloydminster, 1B,Onion Lake,Tait,Glenn,NDP-New Democratic Party,233
47001,Battlefords--Lloydminster, 1B,Onion Lake,Tenkink,Mikaela,Green Party,0
47001,Battlefords--Lloydminster,2,Fort Pitt,Anguish,Doug,Independent,3
47001,Battlefords--Lloydminster,2,Fort Pitt,Ingram,Larry,Liberal,2
47001,Battlefords--Lloydminster,2,Fort Pitt,Ritz,Gerry,Conservative,196
47001,Battlefords--Lloydminster,2,Fort Pitt,Tait,Glenn,NDP-New Democratic Party,5
47001,Battlefords--Lloydminster,2,Fort Pitt,Tenkink,Mikaela,Green Party,3
47001,Battlefords--Lloydminster,3,Hillmond,Anguish,Doug,Independent,3
47001,Battlefords--Lloydminster,3,Hillmond,Ingram,Larry,Liberal,16
47001,Battlefords--Lloydminster,3,Hillmond,Ritz,Gerry,Conservative,227
47001,Battlefords--Lloydminster,3,Hillmond,Tait,Glenn,NDP-New Democratic Party,19
47001,Battlefords--Lloydminster,3,Hillmond,Tenkink,Mikaela,Green Party,4
47001,Battlefords--Lloydminster,4,Bolney,Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,4,Bolney,Ingram,Larry,Liberal,37
47001,Battlefords--Lloydminster,4,Bolney,Ritz,Gerry,Conservative,346
47001,Battlefords--Lloydminster,4,Bolney,Tait,Glenn,NDP-New Democratic Party,23
47001,Battlefords--Lloydminster,4,Bolney,Tenkink,Mikaela,Green Party,6
47001,Battlefords--Lloydminster,5,Bolney,Anguish,Doug,Independent,0
47001,Battlefords--Lloydminster,5,Bolney,Ingram,Larry,Liberal,5
47001,Battlefords--Lloydminster,5,Bolney,Ritz,Gerry,Conservative,57
47001,Battlefords--Lloydminster,5,Bolney,Tait,Glenn,NDP-New Democratic Party,3
47001,Battlefords--Lloydminster,5,Bolney,Tenkink,Mikaela,Green Party,0
47001,Battlefords--Lloydminster,6,St. Walburg,Anguish,Doug,Independent,1
47001,Battlefords--Lloydminster,6,St. Walburg,Ingram,Larry,Liberal,25
47001,Battlefords--Lloydminster,6,St. Walburg,Ritz,Gerry,Conservative,154
47001,Battlefords--Lloydminster,6,St. Walburg,Tait,Glenn,NDP-New Democratic Party,10
47001,Battlefords--Lloydminster,6,St. Walburg,Tenkink,Mikaela,Green Party,4
47001,Battlefords--Lloydminster,7,St. Walburg,Anguish,Doug,Independent,3
47001,Battlefords--Lloydminster,7,St. Walburg,Ingram,Larry,Liberal,29
47001,Battlefords--Lloydminster,7,St. Walburg,Ritz,Gerry,Conservative,194
47001,Battlefords--Lloydminster,7,St. Walburg,Tait,Glenn,NDP-New Democratic Party,23
47001,Battlefords--Lloydminster,7,St. Walburg,Tenkink,Mikaela,Green Party,1
47001,Battlefords--Lloydminster,8,Spruce Lake,Anguish,Doug,Independent,3
47001,Battlefords--Lloydminster,8,Spruce Lake,Ingram,Larry,Liberal,16
47001,Battlefords--Lloydminster,8,Spruce Lake,Ritz,Gerry,Conservative,107
47001,Battlefords--Lloydminster,8,Spruce Lake,Tait,Glenn,NDP-New Democratic Party,8
47001,Battlefords--Lloydminster,8,Spruce Lake,Tenkink,Mikaela,Green Party,1
47001,Battlefords--Lloydminster,9,Livelong,Anguish,Doug,Independent,7
47001,Battlefords--Lloydminster,9,Livelong,Ingram,Larry,Liberal,59
47001,Battlefords--Lloydminster,9,Livelong,Ritz,Gerry,Conservative,291
47001,Battlefords--Lloydminster,9,Livelong,Tait,Glenn,NDP-New Democratic Party,51
47001,Battlefords--Lloydminster,9,Livelong,Tenkink,Mikaela,Green Party,9
47001,Battlefords--Lloydminster,10,Thunderchild First Nation 115B,Anguish,Doug,Independent,0
47001,Battlefords--Lloydminster,10,Thunderchild First Nation 115B,Ingram,Larry,Liberal,54
47001,Battlefords--Lloydminster,10,Thunderchild First Nation 115B,Ritz,Gerry,Conservative,9
47001,Battlefords--Lloydminster,10,Thunderchild First Nation 115B,Tait,Glenn,NDP-New Democratic Party,82
47001,Battlefords--Lloydminster,10,Thunderchild First Nation 115B,Tenkink,Mikaela,Green Party,1
47001,Battlefords--Lloydminster,11,Turtleford,Anguish,Doug,Independent,7
47001,Battlefords--Lloydminster,11,Turtleford,Ingram,Larry,Liberal,93
47001,Battlefords--Lloydminster,11,Turtleford,Ritz,Gerry,Conservative,243
47001,Battlefords--Lloydminster,11,Turtleford,Tait,Glenn,NDP-New Democratic Party,129
47001,Battlefords--Lloydminster,11,Turtleford,Tenkink,Mikaela,Green Party,4
47001,Battlefords--Lloydminster,12,Glaslyn,Anguish,Doug,Independent,1
47001,Battlefords--Lloydminster,12,Glaslyn,Ingram,Larry,Liberal,12
47001,Battlefords--Lloydminster,12,Glaslyn,Ritz,Gerry,Conservative,91
47001,Battlefords--Lloydminster,12,Glaslyn,Tait,Glenn,NDP-New Democratic Party,12
47001,Battlefords--Lloydminster,12,Glaslyn,Tenkink,Mikaela,Green Party,0
47001,Battlefords--Lloydminster,13,Glaslyn,Anguish,Doug,Independent,9
47001,Battlefords--Lloydminster,13,Glaslyn,Ingram,Larry,Liberal,26
47001,Battlefords--Lloydminster,13,Glaslyn,Ritz,Gerry,Conservative,155
47001,Battlefords--Lloydminster,13,Glaslyn,Tait,Glenn,NDP-New Democratic Party,20
47001,Battlefords--Lloydminster,13,Glaslyn,Tenkink,Mikaela,Green Party,4
47001,Battlefords--Lloydminster,14,Mervin,Anguish,Doug,Independent,9
47001,Battlefords--Lloydminster,14,Mervin,Ingram,Larry,Liberal,49
47001,Battlefords--Lloydminster,14,Mervin,Ritz,Gerry,Conservative,415
47001,Battlefords--Lloydminster,14,Mervin,Tait,Glenn,NDP-New Democratic Party,41
47001,Battlefords--Lloydminster,14,Mervin,Tenkink,Mikaela,Green Party,15
47001,Battlefords--Lloydminster,15,Paynton,Anguish,Doug,Independent,5
47001,Battlefords--Lloydminster,15,Paynton,Ingram,Larry,Liberal,40
47001,Battlefords--Lloydminster,15,Paynton,Ritz,Gerry,Conservative,108
47001,Battlefords--Lloydminster,15,Paynton,Tait,Glenn,NDP-New Democratic Party,34
47001,Battlefords--Lloydminster,15,Paynton,Tenkink,Mikaela,Green Party,5
47001,Battlefords--Lloydminster,16,Northminster,Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,16,Northminster,Ingram,Larry,Liberal,8
47001,Battlefords--Lloydminster,16,Northminster,Ritz,Gerry,Conservative,176
47001,Battlefords--Lloydminster,16,Northminster,Tait,Glenn,NDP-New Democratic Party,7
47001,Battlefords--Lloydminster,16,Northminster,Tenkink,Mikaela,Green Party,2
47001,Battlefords--Lloydminster,17,Lloydminster,Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,17,Lloydminster,Ingram,Larry,Liberal,13
47001,Battlefords--Lloydminster,17,Lloydminster,Ritz,Gerry,Conservative,163
47001,Battlefords--Lloydminster,17,Lloydminster,Tait,Glenn,NDP-New Democratic Party,17
47001,Battlefords--Lloydminster,17,Lloydminster,Tenkink,Mikaela,Green Party,2
47001,Battlefords--Lloydminster,18,Lloydminster,Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,18,Lloydminster,Ingram,Larry,Liberal,23
47001,Battlefords--Lloydminster,18,Lloydminster,Ritz,Gerry,Conservative,154
47001,Battlefords--Lloydminster,18,Lloydminster,Tait,Glenn,NDP-New Democratic Party,25
47001,Battlefords--Lloydminster,18,Lloydminster,Tenkink,Mikaela,Green Party,7
47001,Battlefords--Lloydminster,19,Lloydminster (Part),Anguish,Doug,Independent,4
